customer_id,is_member,member_card_number,customer_name,phone,email
2001,true,MBR-943412,Cortney Hebbes,6711911318,chebbes0@twitpic.com
2002,true,MBR-340908,Noni Jeanet,1655482695,njeanet1@reverbnation.com
2003,true,MBR-321369,Kaja Dolling,5413907105,kdolling2@free.fr
2004,true,MBR-488166,Dolli McDowall,,dmcdowall3@sina.com.cn
2005,true,MBR-288623,Charlean Alpine,,calpine4@mail.ru
2006,true,MBR-616414,Garrot Sayburn,,gsayburn5@nsw.gov.au
2007,true,MBR-145631,Berkeley Dundridge,2983806946,bdundridge6@homestead.com
2008,true,MBR-794227,Alvera MacCaghan,,amaccaghan7@paypal.com
2009,true,MBR-966764,Nickie Daspar,8434053619,ndaspar8@goo.ne.jp
2010,true,MBR-348217,Wallie Scotford,6576628461,wscotford9@businessweek.com
2011,true,MBR-946558,Gae Karpets,8277379069,gkarpetsa@ovh.net
2012,true,MBR-383324,Didi Bradock,5908122683,dbradockb@xing.com
2013,true,MBR-201867,Fan Zouch,,fzouchc@huffingtonpost.com
2014,true,MBR-780927,Rutherford Keri,2038412403,rkerid@sitemeter.com
2015,true,MBR-273872,Jenny Jecock,6291339568,jjecocke@wikimedia.org
2016,true,MBR-466086,Farris Tweedle,8195661112,ftweedlef@narod.ru
2017,true,MBR-603717,Ginger Dougher,,gdougherg@rakuten.co.jp
2018,true,MBR-211986,Thekla Jandac,9735104032,tjandach@guardian.co.uk
2019,true,MBR-880715,Di Lowell,4412565668,dlowelli@typepad.com
2020,true,MBR-332218,Cirillo Gleder,8181086315,cglederj@irs.gov
2021,true,MBR-781894,Hobart Antliff,2492548207,hantliffk@ox.ac.uk
2022,true,MBR-729970,Auguste Kenninghan,,akenninghanl@bizjournals.com
2023,true,MBR-214060,Dewain Tidcomb,,dtidcombm@so-net.ne.jp
2024,true,MBR-137463,Philly Doig,6801362287,pdoign@123-reg.co.uk
2025,true,MBR-663731,Valeria Oldcroft,,voldcrofto@walmart.com
2026,true,MBR-278518,Amara Edscer,,aedscerp@earthlink.net
2027,true,MBR-947232,Mayer Mougel,,mmougelq@163.com
2028,true,MBR-755708,Cynde Brome,9918899452,cbromer@rediff.com
2029,true,MBR-969483,Weylin Vassbender,1014063392,wvassbenders@mediafire.com
2030,true,MBR-519442,Reinald Spinola,,rspinolat@addthis.com
2031,true,MBR-416278,Isa Ferrarin,,iferrarinu@ovh.net
2032,true,MBR-267198,Shelly Boyet,,sboyetv@fda.gov
2033,true,MBR-696330,Lilas Throssell,4447577974,lthrossellw@yandex.ru
2034,true,MBR-431876,Sib Subhan,,ssubhanx@networkadvertising.org
2035,true,MBR-867174,Jeromy Rapo,9859850325,jrapoy@wired.com
2036,true,MBR-359942,Dwain Quade,,dquadez@independent.co.uk
2037,true,MBR-540788,Georgeta Newe,,gnewe10@gmpg.org
2038,true,MBR-406390,Josie McKniely,8419223977,jmckniely11@cam.ac.uk
2039,true,MBR-599532,Mycah Gravet,2028708629,mgravet12@wikipedia.org
2040,true,MBR-098423,Hy Goley,1388485213,hgoley13@diigo.com
