uuid,full_name,email,phone_number,address,date_of_birth,ip_address,sensitive_notes,user_preferences,account_status,last_login_date,signup_date,profile_completion_score,preferred_language,marketing_consent
2b97bcf0-95af-447f-a896-3f7f9d2e9484,Quincy Baumbach,jana@example.com,1-211-977-8330 x259,ducimus maiores et nemo.,1975-11-14,118.215.45.241,synergize compelling e-business,"{""theme"": ""dark"", ""notifications"": true}",active,2025-02-17,2016-01-30,70,fr,true
ea928577-4301-4cf8-b726-3696cac3fd7c,Ursula Koch,gerda@example.org,703-156-6703 x126,excepturi quia aliquam.,1968-05-01,241.21.5.9,optimize cutting-edge markets,"{""theme"": ""dark"", ""notifications"": true}",inactive,2025-04-21,1997-10-24,72,en,true
a14caa39-2ecf-4bbb-8ea5-f3ff64e8bc5d,Elmo Hammes,talia@example.net,1-718-792-5856 x557,suscipit quasi nulla et.,1992-08-11,241.0.90.28,streamline e-business platforms,"{""theme"": ""dark"", ""notifications"": false}",active,2024-12-21,2014-05-24,66,de,false
1f15ffc7-1f0b-41be-9024-a8fde82bb329,Jarred Hartmann,janelle@example.org,(252) 324-5438 x65357,dolores non aut laboriosam.,1986-11-16,14.202.243.178,extend enterprise e-commerce,"{""theme"": ""light"", ""notifications"": false}",pending_verification,2024-08-05,2000-02-15,83,es,true
5f8200e7-e6e1-4dfe-99b3-87b7f3896fb1,Ed Mertz,antonia@example.com,874-826-6259 x604,id asperiores non.,1952-10-03,246.93.181.236,deploy cutting-edge solutions,"{""theme"": ""dark"", ""notifications"": false}",pending_verification,2024-06-15,1992-03-19,73,ja,false
78c216a3-efc2-4626-a557-2ec3b5d55eb8,Chase Little,berta@example.com,(564) 856-1624 x6864,doloribus dicta magni.,1986-04-28,148.53.219.161,orchestrate innovative experiences,"{""theme"": ""dark"", ""notifications"": true}",pending_verification,2024-06-03,2008-01-12,59,es,false
8d4567f4-2ed9-48b8-ac5a-abec8231dd1d,Mia Homenick,allan@example.net,564.661.2273 x442,sunt consequatur quia voluptatum.,1951-05-08,54.188.37.82,leverage one-to-one communities,"{""theme"": ""dark"", ""notifications"": false}",suspended,2024-07-18,2007-09-10,34,pt,false
4a68d6c6-6b27-4609-ac2d-12a61e793906,Jalyn Homenick,fatima@example.net,1-157-665-5184 x65425,sit dolorum id.,2004-10-03,162.40.247.222,grow end-to-end schemas,"{""theme"": ""dark"", ""notifications"": true}",active,2024-08-16,2019-11-25,25,ja,true
82d1017a-752a-4647-aace-00721de21fb8,Jo Kerluke,demetris@example.net,270-491-4881 x88832,est quis aut a.,2007-11-25,26.46.216.13,incubate bricks-and-clicks technologies,"{""theme"": ""light"", ""notifications"": true}",active,2025-03-31,2022-09-02,41,fr,false
1e614684-3dfd-45a0-8851-6f7650d93475,Mariano Abernathy,robb@example.net,643.254.4533 x7088,illo odit quae reprehenderit.,1951-01-20,40.177.141.144,unleash killer ROI,"{""theme"": ""light"", ""notifications"": true}",active,2025-04-01,1964-05-30,20,es,false
7bbb1890-b8bc-4e90-bdd2-e93c4d6648db,Marilie Ward,alejandra@example.org,1-625-694-3166 x33591,quam quae aliquid ex.,1969-09-15,79.78.95.210,iterate leading-edge vortals,"{""theme"": ""light"", ""notifications"": true}",inactive,2024-06-19,2007-04-23,80,fr,true
cd7e9e25-ad36-45ca-b975-d71053cec987,Jovani Ernser,frank@example.org,749-839-0897 x221,ad est debitis ducimus.,1976-08-20,187.199.203.159,leverage global functionalities,"{""theme"": ""light"", ""notifications"": true}",inactive,2025-02-15,2017-10-05,47,de,false
fb80560a-2796-440a-820f-755dd72bf302,Libbie Bergstrom,peggie@example.org,1-400-702-1061 x32370,magnam sit consequuntur.,1954-10-12,114.127.110.170,cultivate leading-edge interfaces,"{""theme"": ""dark"", ""notifications"": false}",inactive,2024-11-17,1990-06-17,80,fr,true
74391ef7-6ac0-4d38-bd52-40aaa54258bf,Casimer Hermiston,arnaldo@example.net,536-914-8772 x007,dolorem quisquam eligendi.,1953-09-09,45.201.44.178,iterate 24/365 e-markets,"{""theme"": ""dark"", ""notifications"": true}",active,2024-07-15,2000-08-10,58,es,true
